district_name,percent_ca,percent_retained,score_achievement,zipcode,countyname,street_address_1,city,longitude,latitude,district_ppe,local_funding_percent,state_funding_percent,federal_funding_percent
Robertson County Schools,10.035294117647059,81.87647058823529,2.2411764705882353,37172,Robertson County,800 M S Couts Blvd,Springfield,-86.86892,36.513979,9800.39,30.01,59.76,10.23
Rogersville City School,9.8,92.2,2.6,37857,Hawkins County,116 Broadway,Rogersville,-82.96804,36.413437,10313.23,30.88,56.35,12.78
Rutherford County Schools,8.202272727272728,81.63409090909092,2.8659090909090907,37128,Rutherford County,2240 Southpark Blvd,Murfreesboro,-86.4455,35.813319,8923.87,45.8,48.13,6.07
Scott County Schools,10.399999999999999,90.35000000000001,2.3,37756,Scott County,208 Court St,Huntsville,-84.42137,36.351978,9136.83,14.65,69.64,15.71
Sequatchie County Schools,15.333333333333334,86.76666666666667,1.2666666666666668,37327,Sequatchie County,878 Cordell Dr,Dunlap,-85.38755,35.399109,8684.94,23.04,61.72,15.24
Sevier County School System,17.62272727272727,82.63636363636364,2.4045454545454548,37862,Sevier County,226  Cedar  St,Sevierville,-83.59197,35.818653,10424.38,66.12,26.08,7.8
Shelby County Schools,18.424117647058832,70.54705882352943,1.9252941176470586,38112,Shelby County,160  S  Hollywood,Memphis,-89.97479,35.148605,11798.72,40.86,43.54,15.6
Smith County School District,6.342857142857143,84.07142857142857,2.814285714285714,37030,Smith County,126 S C M S Lane,Carthage,-85.94893,36.264959,8791.53,20.47,68.06,11.47
South Carroll County Special School District,4.2,73.1,2.6,38324,Carroll County,145 Clarksburg Rd,Clarksburg,-88.39343,35.867454,9167.93,24.12,63.01,12.87
Stewart County Schools,8.35,88.675,2.6,37058,Stewart County,1031 Spring St,Dover,-87.85877,36.477136,9333.18,22.0,66.1,11.9
Sullivan County Schools,12.836842105263159,87.0,2.368421052631579,37617,Sullivan County,154 Blountville By-Pass,Blountville,-82.37229,36.534729,9454.73,45.76,43.96,10.28
Sumner County Schools,7.724444444444445,84.08888888888892,3.0488888888888885,37066,Sumner County,695 East Main St,Gallatin,-86.4548,36.388997,8963.35,36.87,55.54,7.59
Sweetwater City Schools,8.566666666666666,80.03333333333333,1.8666666666666665,37874,Monroe County,220 S. Clark St,Sweetwater,-84.46613,35.598659,8592.34,26.03,61.39,12.58
Tipton County Schools,7.476923076923077,86.8923076923077,2.8999999999999995,38019,Tipton County,1580 Highway 51 South,Covington,-89.64201,35.560622,8529.7,20.4,68.86,10.74
Trenton Special School District,10.5,81.5,1.7333333333333334,38382,Gibson County,201  W  10th St,Trenton,-88.95035,35.973431,9018.93,40.74,48.73,10.53
Trousdale County Schools,6.866666666666667,81.2,3.4,37074,Trousdale County,103 Lock Six Rd,Hartsville,-86.15305,36.407653,9381.74,21.31,65.63,13.07
Tullahoma City Schools,14.642857142857142,84.27142857142857,1.8571428571428572,37388,Coffee County,510  S  Jackson St,Tullahoma,-86.21484,35.357522,10711.33,46.78,43.03,10.19
Unicoi County Schools,16.380000000000003,88.68,2.2800000000000002,37650,Unicoi County,100 Nolichucky Ave,Erwin,-82.4273,36.128301,9500.7,21.54,63.79,14.67
Union City Schools,8.566666666666668,84.33333333333333,2.6999999999999997,38261,Obion County,408 South Depot St,Union City,-89.0727,36.426933,10164.3,33.13,53.49,13.39
Union County Schools,11.428571428571429,85.08571428571429,1.6285714285714286,37807,Union County,3006 Maynardville Hwy,Maynardville,-83.82558,36.251265,7892.72,11.51,75.86,12.64
Van Buren County Schools,8.850000000000001,86.69999999999999,2.8,38585,Van Buren County,293 Sparta St,Spencer,-85.41146,35.69653,11513.62,19.84,68.31,11.85
Warren County School District,9.47777777777778,90.1,1.911111111111111,37110,Warren County,2548 Morrison St,McMinnville,-85.787,35.687286,8912.15,27.23,59.45,13.32
Washington County Schools,12.673333333333334,82.03333333333333,2.9533333333333336,37659,Washington County,405  W  College St,Jonesborough,-82.49704,36.293805,8623.98,43.5,47.73,8.77
Wayne County Schools,18.085714285714285,89.11428571428571,2.1142857142857143,38485,Wayne County,419 South Main St,Waynesboro,-87.75739,35.343716,9960.71,14.93,72.83,12.24
Weakley County Schools,9.333333333333336,86.36666666666667,2.9000000000000004,38225,Weakley County,8319  Hwy  22 Suite A,Dresden,-88.6869,36.305305,8788.5,24.59,62.57,12.84
West Carroll Special School District,7.55,62.7,1.95,38220,Carroll County,1415 Highway 77,Atwood,-88.66966,35.98269,9334.86,23.36,63.07,13.57
White County Schools,7.5375,84.01250000000002,2.4499999999999997,38583,White County,136 Baker St,Sparta,-85.45113,35.943026,8822.95,18.82,66.42,14.75
Williamson County Schools,4.066666666666667,78.83809523809522,3.738095238095238,37064,Williamson County,1320 W  Main,Franklin,-86.89919,35.893823,9191.29,66.56,30.61,2.83
Wilson County School District,8.673684210526318,82.04210526315791,2.9789473684210526,37087,Wilson County,415 Harding Dr,Lebanon,-86.29271,36.240331,8271.47,48.04,46.13,5.84
