Key,Dist,District ID,District Name,School ID,School Name,Enrollment,Total School Per Pupil Expenditures,Total Expenditures Per School,Local Percentage,Federal Percentage,State Percentage,Year,,
470 0212,470,470,Knox County,212,Ridgedale Alternative School,86,*,*,,,,2020,,
330 0210,330,330,Hamilton County,210,Signal Mountain Middle/High School,1293,*,*,,,,2020,,
470 0210,470,470,Knox County,210,Sunnyview Primary,239,*,*,,,,2020,,
750 0210,750,750,Rutherford County,210,Stewarts Creek Elementary School,1013,*,*,,,,2020,,
820 0210,820,820,Sullivan County,210,North Middle School,300,*,*,,,,2020,,
190 0208,190,190,Metro Nashville Public Schools,208,Thomas A. Edison Elementary,813,*,*,,,,2020,,
470 0207,470,470,Knox County,207,Pond Gap Elementary,395,*,*,,,,2020,,
792 0205,792,792,Shelby County,205,Lowrance Elementary/Middle,944,*,*,,,,2020,,
190 0203,190,190,Metro Nashville Public Schools,203,East Nashville Magnet High School,676,*,*,,,,2020,,
470 0202,470,470,Knox County,202,Pleasant Ridge Elementary,331,*,*,,,,2020,,
330 0200,330,330,Hamilton County,200,Orchard Knob Middle,434,*,*,,,,2020,,
750 0200,750,750,Rutherford County,200,Stewartsboro Elementary,688,*,*,,,,2020,,
792 0200,792,792,Shelby County,200,Highland Oaks Middle,645,*,*,,,,2020,,
330 0196,330,330,Hamilton County,196,Sequoyah High School,262,*,*,,,,2020,,
190 0195,190,190,Metro Nashville Public Schools,195,Eakin Elementary,554,*,*,,,,2020,,
470 0195,470,470,Knox County,195,Ritta Elementary,596,*,*,,,,2020,,
793 0195,793,793,Arlington,195,Donelson Elementary,898,*,*,,,,2020,,
330 0194,330,330,Hamilton County,194,Orchard Knob Elementary,531,*,*,,,,2020,,
190 0190,190,190,Metro Nashville Public Schools,190,DuPont Hadley Middle,608,*,*,,,,2020,,
330 0190,330,330,Hamilton County,190,Sale Creek Middle / High School,562,*,*,,,,2020,,
795 0190,795,795,Collierville,190,Tara Oaks Elementary School,672,*,*,,,,2020,,
470 0187,470,470,Knox County,187,Northwest Middle School,854,*,*,,,,2020,,
190 0185,190,190,Metro Nashville Public Schools,185,DuPont Tyler Middle,569,*,*,,,,2020,,
470 0185,470,470,Knox County,185,Powell High School,1313,*,*,,,,2020,,
792 0185,792,792,Shelby County,185,Woodstock Middle School,315,*,*,,,,2020,,
330 0183,330,330,Hamilton County,183,Rivermont Elementary,356,*,*,,,,2020,,
795 0183,795,795,Collierville,183,Sycamore Elementary School,499,*,*,,,,2020,,
820 0183,820,820,Sullivan County,183,Sullivan South High School,754,*,*,,,,2020,,
470 0182,470,470,Knox County,182,Powell Middle School,942,*,*,,,,2020,,
820 0182,820,820,Sullivan County,182,Sullivan North High School,425,*,*,,,,2020,,
190 0180,190,190,Metro Nashville Public Schools,180,DuPont Elementary,372,*,*,,,,2020,,
330 0180,330,330,Hamilton County,180,Red Bank Middle School,595,*,*,,,,2020,,
470 0180,470,470,Knox County,180,Powell Elementary,849,*,*,,,,2020,,
792 0178,792,792,Shelby County,178,Southwind High,1601,*,*,,,,2020,,
470 0177,470,470,Knox County,177,Norwood Elementary,479,*,*,,,,2020,,
190 0175,190,190,Metro Nashville Public Schools,175,Donelson Middle,772,*,*,,,,2020,,
330 0175,330,330,Hamilton County,175,Red Bank High School,780,*,*,,,,2020,,
470 0175,470,470,Knox County,175,New Hopewell Elementary,242,*,*,,,,2020,,
792 0175,792,792,Shelby County,175,Southwind Elementary,746,*,*,,,,2020,,
820 0175,820,820,Sullivan County,175,Sullivan Gardens K-8,434,*,*,,,,2020,,
470 0172,470,470,Knox County,172,Mooreland Heights Elementary,314,*,*,,,,2020,,
330 0171,330,330,Hamilton County,171,Red Bank Elementary,583,*,*,,,,2020,,
470 0170,470,470,Knox County,170,Mt Olive Elementary,220,*,*,,,,2020,,
820 0170,820,820,Sullivan County,170,Rock Springs Elementary,391,*,*,,,,2020,,
470 0168,470,470,Knox County,168,Maynard Elementary,145,*,*,,,,2020,,
795 0168,795,795,Collierville,168,West Collierville Middle School,1287,*,*,,,,2020,,
190 0165,190,190,Metro Nashville Public Schools,165,Dodson Elementary,376,*,*,,,,2020,,
330 0165,330,330,Hamilton County,165,Lookout Valley Middle / High School,343,*,*,,,,2020,,
470 0165,470,470,Knox County,165,Lonsdale Elementary,322,*,*,,,,2020,,
795 0165,795,795,Collierville,165,Schilling Farms Elementary School,599,*,*,,,,2020,,
330 0162,330,330,Hamilton County,162,Chattanooga School For The Liberal Arts,498,*,*,,,,2020,,
050 0160,50,50,Blount County,160,Prospect Elementary School,403,*,*,,,,2020,,
070 0160,70,70,Campbell County,160,East Lafollette Learning Academy,0,*,*,,,,2020,,
190 0160,190,190,Metro Nashville Public Schools,160,Dan Mills Elementary,551,*,*,,,,2020,,
330 0160,330,330,Hamilton County,160,Ooltewah High School,1528,*,*,,,,2020,,
796 0160,796,796,Germantown,160,Riverdale Elementary School,1316,*,*,,,,2020,,
830 0160,830,830,Sumner County,160,Dr. William Burrus Elementary at Drakes Creek,636,*,*,,,,2020,,
330 0159,330,330,Hamilton County,159,Lakeside Academy,451,*,*,,,,2020,,
470 0159,470,470,Knox County,159,Lincoln Park Technology and Trade Center,0,*,*,,,,2020,,
470 0158,470,470,Knox County,158,Knox Adaptive Education Center,70,*,*,,,,2020,,
330 0157,330,330,Hamilton County,157,Ooltewah Middle School,807,*,*,,,,2020,,
050 0155,50,50,Blount County,155,William Blount High School,1662,*,*,,,,2020,,
070 0155,70,70,Campbell County,155,Jellico Learning Academy,0,*,*,,,,2020,,
330 0155,330,330,Hamilton County,155,Ooltewah Elementary,938,*,*,,,,2020,,
751 0155,751,751,Murfreesboro,155,Salem Elementary School,794,*,*,,,,2020,,
794 0155,794,794,Bartlett,155,Rivercrest Elementary,563,*,*,,,,2020,,
820 0155,820,820,Sullivan County,155,Miller Perry Elementary,311,*,*,,,,2020,,
830 0155,830,830,Sumner County,155,Sumner County Middle College High School,72,*,*,,,,2020,,
830 0152,830,830,Sumner County,152,Portland Gateview Elementary School,577,*,*,,,,2020,,
070 0150,70,70,Campbell County,150,Wynn Habersham Elementary,148,*,*,,,,2020,,
190 0150,190,190,Metro Nashville Public Schools,150,Cumberland Elementary,268,*,*,,,,2020,,
470 0150,470,470,Knox County,150,Karns High School,1442,*,*,,,,2020,,
750 0150,750,750,Rutherford County,150,Wilson Elementary School,891,*,*,,,,2020,,
751 0150,751,751,Murfreesboro,150,Scales Elementary School,940,*,*,,,,2020,,
794 0150,794,794,Bartlett,150,Oak Elementary,722,*,*,,,,2020,,
820 0150,820,820,Sullivan County,150,Mary Hughes School,461,*,*,,,,2020,,
830 0150,830,830,Sumner County,150,Harold B. Williams Elementary School,706,*,*,,,,2020,,
330 0149,330,330,Hamilton County,149,Nolan Elementary,678,*,*,,,,2020,,
190 0148,190,190,Metro Nashville Public Schools,148,Croft Middle,735,*,*,,,,2020,,
330 0148,330,330,Hamilton County,148,Wolftever Creek Elementary,647,*,*,,,,2020,,
330 0147,330,330,Hamilton County,147,North Hamilton Elementary,386,*,*,,,,2020,,
470 0147,470,470,Knox County,147,Karns Middle School,983,*,*,,,,2020,,
570 0146,570,570,Madison County,146,Andrew Jackson Elementary School,478,*,*,,,,2020,,
050 0145,50,50,Blount County,145,Walland Elementary School,284,*,*,,,,2020,,
190 0145,190,190,Metro Nashville Public Schools,145,Crieve Hall Elementary,464,*,*,,,,2020,,
470 0145,470,470,Knox County,145,Karns Elementary,1280,*,*,,,,2020,,
792 0145,792,792,Shelby County,145,Northaven Elementary,326,*,*,,,,2020,,
570 0144,570,570,Madison County,144,Jackson Career Technology Magnet Elementary,461,*,*,,,,2020,,
570 0142,570,570,Madison County,142,North Parkway Middle School,751,*,*,,,,2020,,
070 0140,70,70,Campbell County,140,White Oak Elementary,145,*,*,,,,2020,,
130 0140,130,130,Claiborne County,140,The Alpha School,115,*,*,,,,2020,,
190 0140,190,190,Metro Nashville Public Schools,140,Hattie Cotton Elementary,237,*,*,,,,2020,,
570 0140,570,570,Madison County,140,East Elementary School,551,*,*,,,,2020,,
792 0140,792,792,Shelby County,140,Mt. Pisgah Middle,544,*,*,,,,2020,,
830 0140,830,830,Sumner County,140,Portland West Middle School,540,*,*,,,,2020,,
050 0138,50,50,Blount County,138,Union Grove Elementary School,275,*,*,,,,2020,,
470 0138,470,470,Knox County,138,Inskip Elementary,568,*,*,,,,2020,,
330 0137,330,330,Hamilton County,137,The Howard School,1120,*,*,,,,2020,,
070 0135,70,70,Campbell County,135,Valley View Elementary,430,*,*,,,,2020,,
570 0135,570,570,Madison County,135,Nova Early Learning Center,291,*,*,,,,2020,,
830 0135,830,830,Sumner County,135,Knox Doss Middle School at Drakes Creek,653,*,*,,,,2020,,
330 0133,330,330,Hamilton County,133,Hillcrest Elementary,373,*,*,,,,2020,,
798 0133,798,798,Millington Municipal Schools,133,Millington Middle School,593,*,*,,,,2020,,
190 0130,190,190,Metro Nashville Public Schools,130,Cole Elementary,758,*,*,,,,2020,,
570 0130,570,570,Madison County,130,West-Bemis Middle School,517,*,*,,,,2020,,
798 0130,798,798,Millington Municipal Schools,130,Millington Central High School,799,*,*,,,,2020,,
830 0130,830,830,Sumner County,130,White House Middle School,790,*,*,,,,2020,,
330 0129,330,330,Hamilton County,129,Hixson Middle School,642,*,*,,,,2020,,
330 0128,330,330,Hamilton County,128,Hixson High School,912,*,*,,,,2020,,
330 0127,330,330,Hamilton County,127,Hixson Elementary,441,*,*,,,,2020,,
190 0126,190,190,Metro Nashville Public Schools,126,W.A. Bass Alternative Learning Center,91,*,*,,,,2020,,
470 0126,470,470,Knox County,126,Hardin Valley Academy,2059,*,*,,,,2020,,
050 0125,50,50,Blount County,125,Townsend Elementary,134,*,*,,,,2020,,
190 0125,190,190,Metro Nashville Public Schools,125,W. A. Bass Adult Program,286,*,*,,,,2020,,
330 0125,330,330,Hamilton County,125,Lookout Mountain Elementary,177,*,*,,,,2020,,
570 0125,570,570,Madison County,125,Parkview Learning Center,0,*,*,,,,2020,,
830 0125,830,830,Sumner County,125,White House High School,822,*,*,,,,2020,,
470 0124,470,470,Knox County,124,Hardin Valley Elementary,1209,*,*,,,,2020,,
050 0123,50,50,Blount County,123,Samuel Everett School of Innovation,131,*,*,,,,2020,,
798 0123,798,798,Millington Municipal Schools,123,Millington Elementary School,848,*,*,,,,2020,,
470 0122,470,470,Knox County,122,Holston Middle School,560,*,*,,,,2020,,
190 0120,190,190,Metro Nashville Public Schools,120,Cockrill Elementary,316,*,*,,,,2020,,
330 0120,330,330,Hamilton County,120,Loftis Middle School,607,*,*,,,,2020,,
470 0120,470,470,Knox County,120,Halls Middle School,1060,*,*,,,,2020,,
600 0120,600,600,Maury County,120,Battle Creek Middle School,528,*,*,,,,2020,,
797 0120,797,797,Lakeland,120,Lakeland Middle Preparatory School,857,*,*,,,,2020,,
830 0120,830,830,Sumner County,120,Westmoreland High School,479,*,*,,,,2020,,
792 0118,792,792,Shelby County,118,Macon-Hall Elementary,1202,*,*,,,,2020,,
130 0117,130,130,Claiborne County,117,Tazewell-New Tazewell Elementary,502,*,*,,,,2020,,
470 0117,470,470,Knox County,117,Gresham Middle School,857,*,*,,,,2020,,
830 0117,830,830,Sumner County,117,Westmoreland Middle School,435,*,*,,,,2020,,
797 0116,797,797,Lakeland,116,Lakeland Elementary School,1015,*,*,,,,2020,,
130 0115,130,130,Claiborne County,115,Springdale Elementary,277,*,*,,,,2020,,
190 0115,190,190,Metro Nashville Public Schools,115,Eagle View Elementary School,646,*,*,,,,2020,,
260 0115,260,260,Franklin County,115,South Middle School,327,*,*,,,,2020,,
470 0115,470,470,Knox County,115,Halls High School,1264,*,*,,,,2020,,
600 0115,600,600,Maury County,115,Battle Creek Elementary School,480,*,*,,,,2020,,
630 0115,630,630,Montgomery County,115,Oakland Elementary,963,*,*,,,,2020,,
792 0115,792,792,Shelby County,115,Lucy Elementary,384,*,*,,,,2020,,
820 0115,820,820,Sullivan County,115,Indian Springs Elementary,378,*,*,,,,2020,,
830 0115,830,830,Sumner County,115,Westmoreland Elementary,524,*,*,,,,2020,,
900 0115,900,900,Washington County,115,Tennessee Virtual Learning Academy,29,*,*,,,,2020,,
830 0113,830,830,Sumner County,113,George A Whitten Elementary,403,*,*,,,,2020,,
470 0112,470,470,Knox County,112,Green Magnet Math And Science Academy,334,*,*,,,,2020,,
830 0112,830,830,Sumner County,112,Walton Ferry Elementary,464,*,*,,,,2020,,
570 0111,570,570,Madison County,111,Thelma Barker Elementary,737,*,*,,,,2020,,
796 0111,796,796,Germantown,111,Houston High School,1935,*,*,,,,2020,,
050 0110,50,50,Blount County,110,Rockford Elementary,441,*,*,,,,2020,,
130 0110,130,130,Claiborne County,110,Claiborne High School,727,*,*,,,,2020,,
190 0110,190,190,Metro Nashville Public Schools,110,Charlotte Park Elementary,508,*,*,,,,2020,,
330 0110,330,330,Hamilton County,110,Hardy Elementary School,505,*,*,,,,2020,,
470 0110,470,470,Knox County,110,Halls Elementary,781,*,*,,,,2020,,
600 0110,600,600,Maury County,110,Northfield Academy,62,*,*,,,,2020,,
630 0110,630,630,Montgomery County,110,Pisgah Elementary,800,*,*,,,,2020,,
710 0110,710,710,Putnam County,110,Upperman Middle School,782,*,*,,,,2020,,
740 0110,740,740,Robertson County,110,Tennessee Connections Academy 9-12,530,*,*,,,,2020,,
750 0110,750,750,Rutherford County,110,Walter Hill Elementary,395,*,*,,,,2020,,
792 0110,792,792,Shelby County,110,Germantown High,1983,*,*,,,,2020,,
820 0110,820,820,Sullivan County,110,Holston Valley Middle School,171,*,*,,,,2020,,
830 0110,830,830,Sumner County,110,R T Fisher Alternative,114,*,*,,,,2020,,
900 0110,900,900,Washington County,110,West View School,385,*,*,,,,2020,,
796 0109,796,796,Germantown,109,Houston Middle School,975,*,*,,,,2020,,
830 0109,830,830,Sumner County,109,Vena Stuart Elementary,716,*,*,,,,2020,,
792 0108,792,792,Shelby County,108,Highland Oaks Elementary,890,*,*,,,,2020,,
792 0107,792,792,Shelby County,107,Germantown Middle,800,*,*,,,,2020,,
830 0107,830,830,Sumner County,107,V G Hawkins Middle School,475,*,*,,,,2020,,
010 0105,10,10,Anderson County,105,Clinch River Community School,0,*,*,,,,2020,,
060 0105,60,60,Bradley County,105,Bradley County Virtual School,67,*,*,,,,2020,,
130 0105,130,130,Claiborne County,105,Soldiers Memorial Middle School,486,*,*,,,,2020,,
190 0105,190,190,Metro Nashville Public Schools,105,Chadwell Elementary,333,*,*,,,,2020,,
370 0105,370,370,Hawkins County,105,Volunteer High School,1085,*,*,,,,2020,,
570 0105,570,570,Madison County,105,South Side High School,927,*,*,,,,2020,,
600 0105,600,600,Maury County,105,Spring Hill Middle School,566,*,*,,,,2020,,
630 0105,630,630,Montgomery County,105,Rossview Elementary,1049,*,*,,,,2020,,
710 0105,710,710,Putnam County,105,White Plains Academy,83,*,*,,,,2020,,
740 0105,740,740,Robertson County,105,Tennessee Connections Academy K-8,695,*,*,,,,2020,,
750 0105,750,750,Rutherford County,105,Thurman Francis Arts Academy/Magnet School for the Arts,676,*,*,,,,2020,,
792 0105,792,792,Shelby County,105,Germantown Elementary,661,*,*,,,,2020,,
796 0105,796,796,Germantown,105,Forest Hill Elementary School,590,*,*,,,,2020,,
830 0105,830,830,Sumner County,105,Union Elementary School,563,*,*,,,,2020,,
900 0105,900,900,Washington County,105,University School,601,*,*,,,,2020,,
750 0104,750,750,Rutherford County,104,Siegel High School,1776,*,*,,,,2020,,
830 0104,830,830,Sumner County,104,Benny C. Bills Elementary School,731,*,*,,,,2020,,
750 0103,750,750,Rutherford County,103,Siegel Middle School,1182,*,*,,,,2020,,
060 0102,60,60,Bradley County,102,Park View Elementary School,424,*,*,,,,2020,,
570 0102,570,570,Madison County,102,South Elementary,459,*,*,,,,2020,,
830 0102,830,830,Sumner County,102,Station Camp High School,1333,*,*,,,,2020,,
830 0101,830,830,Sumner County,101,Station Camp Elementary,973,*,*,,,,2020,,
060 0100,60,60,Bradley County,100,Waterville Community Elementary School,648,*,*,,,,2020,,
330 0100,330,330,Hamilton County,100,Hunter Middle School,771,*,*,,,,2020,,
370 0100,370,370,Hawkins County,100,Surgoinsville Middle School,331,*,*,,,,2020,,
470 0100,470,470,Knox County,100,Gibbs High School,1023,*,*,,,,2020,,
570 0100,570,570,Madison County,100,Pope School,658,*,*,,,,2020,,
600 0100,600,600,Maury County,100,Whitthorne Middle School,1071,*,*,,,,2020,,
630 0100,630,630,Montgomery County,100,West Creek High,1505,*,*,,,,2020,,
710 0100,710,710,Putnam County,100,Prescott South Middle School,810,*,*,,,,2020,,
740 0100,740,740,Robertson County,100,Robertson County Alternative Learning Center,53,*,*,,,,2020,,
750 0100,750,750,Rutherford County,100,Smyrna Primary,582,*,*,,,,2020,,
796 0100,796,796,Germantown,100,Farmington Elementary School,666,*,*,,,,2020,,
820 0100,820,820,Sullivan County,100,Holston Middle School,312,*,*,,,,2020,,
830 0100,830,830,Sumner County,100,Rucker Stewart Middle,866,*,*,,,,2020,,
330 0098,330,330,Hamilton County,98,Howard Connect Academy,110,*,*,,,,2020,,
740 0098,740,740,Robertson County,98,Robertson County Adult High School,0,*,*,,,,2020,,
750 0098,750,750,Rutherford County,98,Smyrna High School,2005,*,*,,,,2020,,
330 0097,330,330,Hamilton County,97,Barger Academy,358,*,*,,,,2020,,
830 0097,830,830,Sumner County,97,Joe Shafer Middle School,699,*,*,,,,2020,,
050 0095,50,50,Blount County,95,Porter Elementary,257,*,*,,,,2020,,
100 0095,100,100,Carter County,95,Valley Forge Elementary,231,*,*,,,,2020,,
130 0095,130,130,Claiborne County,95,Powell Valley Elementary,309,*,*,,,,2020,,
240 0095,240,240,Fayette County Public Schools,95,Buckley-Carpenter Elementary School,594,*,*,,,,2020,,
300 0095,300,300,Greene County,95,West Greene High School,604,*,*,,,,2020,,
370 0095,370,370,Hawkins County,95,Surgoinsville Elementary,316,*,*,,,,2020,,
470 0095,470,470,Knox County,95,Gibbs Elementary,929,*,*,,,,2020,,
500 0095,500,500,Lawrence County,95,Summertown High School,698,*,*,,,,2020,,
520 0095,520,520,Lincoln County,95,Lincoln Central Academy,30,*,*,,,,2020,,
600 0095,600,600,Maury County,95,Spring Hill High School,1125,*,*,,,,2020,,
630 0095,630,630,Montgomery County,95,Carmel Elementary,701,*,*,,,,2020,,
710 0095,710,710,Putnam County,95,Prescott South Elementary,574,*,*,,,,2020,,
730 0095,730,730,Roane County,95,Dyllis Springs Elementary,368,*,*,,,,2020,,
740 0095,740,740,Robertson County,95,Robertson Co. Virtual School,46,*,*,,,,2020,,
750 0095,750,750,Rutherford County,95,Smyrna Middle School,991,*,*,,,,2020,,
794 0095,794,794,Bartlett,95,Elmore Park Middle School,831,*,*,,,,2020,,
820 0095,820,820,Sullivan County,95,Holston Elementary,382,*,*,,,,2020,,
830 0095,830,830,Sumner County,95,Clyde Riggs Elementary,269,*,*,,,,2020,,
900 0095,900,900,Washington County,95,Sulphur Springs Elementary,369,*,*,,,,2020,,
950 0095,950,950,Wilson County,95,Watertown Middle School,295,*,*,,,,2020,,
050 0094,50,50,Blount County,94,Montvale Elementary,321,*,*,,,,2020,,
050 0093,50,50,Blount County,93,Middlesettlements,336,*,*,,,,2020,,
130 0093,130,130,Claiborne County,93,Cumberland Gap High School,527,*,*,,,,2020,,
830 0093,830,830,Sumner County,93,E B Wilson,102,*,*,,,,2020,,
750 0092,750,750,Rutherford County,92,Smyrna West Alternative School,88,*,*,,,,2020,,
050 0090,50,50,Blount County,90,Mary Blount Elementary,596,*,*,,,,2020,,
100 0090,100,100,Carter County,90,Unaka High School,349,*,*,,,,2020,,
130 0090,130,130,Claiborne County,90,Midway Elementary,366,*,*,,,,2020,,
240 0090,240,240,Fayette County Public Schools,90,West Junior High School,415,*,*,,,,2020,,
260 0090,260,260,Franklin County,90,Sewanee Elementary,199,*,*,,,,2020,,
330 0090,330,330,Hamilton County,90,Harrison Elementary,409,*,*,,,,2020,,
370 0090,370,370,Hawkins County,90,St Clair Elementary,139,*,*,,,,2020,,
470 0090,470,470,Knox County,90,Fulton High School,961,*,*,,,,2020,,
500 0090,500,500,Lawrence County,90,Summertown Elementary,646,*,*,,,,2020,,
520 0090,520,520,Lincoln County,90,Unity School,410,*,*,,,,2020,,
600 0090,600,600,Maury County,90,Spring Hill Elementary,433,*,*,,,,2020,,
630 0090,630,630,Montgomery County,90,West Creek Elementary,932,*,*,,,,2020,,
710 0090,710,710,Putnam County,90,Upperman High School,773,*,*,,,,2020,,
730 0090,730,730,Roane County,90,Rockwood Middle School,307,*,*,,,,2020,,
740 0090,740,740,Robertson County,90,White House Heritage High School,988,*,*,,,,2020,,
750 0090,750,750,Rutherford County,90,Smyrna Elementary,754,*,*,,,,2020,,
794 0090,794,794,Bartlett,90,Ellendale Elementary,521,*,*,,,,2020,,
830 0090,830,830,Sumner County,90,Portland East Middle School,442,*,*,,,,2020,,
900 0090,900,900,Washington County,90,South Central Elementary,212,*,*,,,,2020,,
950 0090,950,950,Wilson County,90,Elzie D Patton Elementary School,476,*,*,,,,2020,,
940 0089,940,940,Williamson County,89,Winstead Elementary School,611,*,*,,,,2020,,
630 0088,630,630,Montgomery County,88,Middle College @ Austin Peay State University,115,*,*,,,,2020,,
740 0088,740,740,Robertson County,88,White House Heritage Elementary School,558,*,*,,,,2020,,
940 0088,940,940,Williamson County,88,Westwood Elementary School,542,*,*,,,,2020,,
260 0087,260,260,Franklin County,87,Rock Creek Elementary,402,*,*,,,,2020,,
280 0087,280,280,Giles County,87,Southside Elementary,391,*,*,,,,2020,,
470 0087,470,470,Knox County,87,Fountain City Elementary,339,*,*,,,,2020,,
950 0087,950,950,Wilson County,87,Barry Tatum Academy,114,*,*,,,,2020,,
330 0086,330,330,Hamilton County,86,Hamilton County Collegiate High at Chattanooga State,175,*,*,,,,2020,,
570 0086,570,570,Madison County,86,Community Montessori School,540,*,*,,,,2020,,
750 0086,750,750,Rutherford County,86,Rocky Fork Elementary School,869,*,*,,,,2020,,
780 0086,780,780,Sevier County,86,Whites Adult High School,0,*,*,,,,2020,,
010 0085,10,10,Anderson County,85,Norwood Middle School,186,*,*,,,,2020,,
100 0085,100,100,Carter County,85,Unaka Elementary,249,*,*,,,,2020,,
180 0085,180,180,Cumberland County,85,The Phoenix School,76,*,*,,,,2020,,
275 0085,275,275,Gibson Co Sp Dist,85,Yorkville Elementary,123,*,*,,,,2020,,
330 0085,330,330,Hamilton County,85,Middle Valley Elementary,838,*,*,,,,2020,,
470 0085,470,470,Knox County,85,Gap Creek Elementary,95,*,*,,,,2020,,
600 0085,600,600,Maury County,85,Santa Fe Unit School,545,*,*,,,,2020,,
630 0085,630,630,Montgomery County,85,Woodlawn Elementary,757,*,*,,,,2020,,
730 0085,730,730,Roane County,85,Rockwood High School,376,*,*,,,,2020,,
740 0085,740,740,Robertson County,85,Westside Elementary,310,*,*,,,,2020,,
750 0085,750,750,Rutherford County,85,Rockvale High School,1727,*,*,,,,2020,,
820 0085,820,820,Sullivan County,85,Emmett Elementary,363,*,*,,,,2020,,
830 0085,830,830,Sumner County,85,Portland High School,1103,*,*,,,,2020,,
890 0085,890,890,Warren County,85,West Elementary,508,*,*,,,,2020,,
950 0085,950,950,Wilson County,85,Wilson Co Adult High School,12,*,*,,,,2020,,
050 0084,50,50,Blount County,84,Union Grove Middle School,678,*,*,,,,2020,,
280 0084,280,280,Giles County,84,Richland School,647,*,*,,,,2020,,
630 0084,630,630,Montgomery County,84,West Creek Middle,1353,*,*,,,,2020,,
940 0084,940,940,Williamson County,84,Woodland Middle School,1007,*,*,,,,2020,,
470 0083,470,470,Knox County,83,Farragut Primary,1025,*,*,,,,2020,,
630 0083,630,630,Montgomery County,83,Sango Elementary,729,*,*,,,,2020,,
940 0083,940,940,Williamson County,83,Walnut Grove Elementary,578,*,*,,,,2020,,
190 0082,190,190,Metro Nashville Public Schools,82,Cane Ridge Elementary,611,*,*,,,,2020,,
260 0082,260,260,Franklin County,82,North Lake Elementary,243,*,*,,,,2020,,
520 0082,520,520,Lincoln County,82,South Lincoln School,638,*,*,,,,2020,,
940 0082,940,940,Williamson County,82,Thompson's Station Middle School,634,*,*,,,,2020,,
280 0081,280,280,Giles County,81,Richland Elementary,505,*,*,,,,2020,,
730 0081,730,730,Roane County,81,Midtown Educational Center,44,*,*,,,,2020,,
940 0081,940,940,Williamson County,81,Thompson's Station Elementary School,835,*,*,,,,2020,,
010 0080,10,10,Anderson County,80,Norwood Elementary,263,*,*,,,,2020,,
070 0080,70,70,Campbell County,80,Lafollette Middle School,496,*,*,,,,2020,,
190 0080,190,190,Metro Nashville Public Schools,80,Ida B. Wells Elementary,261,*,*,,,,2020,,
260 0080,260,260,Franklin County,80,North Middle School,617,*,*,,,,2020,,
300 0080,300,300,Greene County,80,South Greene High School,551,*,*,,,,2020,,
370 0080,370,370,Hawkins County,80,Rogersville Middle School,503,*,*,,,,2020,,
470 0080,470,470,Knox County,80,Farragut High School,1911,*,*,,,,2020,,
580 0080,580,580,Marion County,80,Marion Virtual High School,0,*,*,,,,2020,,
630 0080,630,630,Montgomery County,80,St. Bethlehem Elementary,498,*,*,,,,2020,,
730 0080,730,730,Roane County,80,Roane County High School,697,*,*,,,,2020,,
740 0080,740,740,Robertson County,80,Watauga Elementary,382,*,*,,,,2020,,
750 0080,750,750,Rutherford County,80,Rutherford County Adult High School,0,*,*,,,,2020,,
780 0080,780,780,Sevier County,80,Wearwood Elementary,162,*,*,,,,2020,,
792 0080,792,792,Shelby County,80,E.E. Jeter Elementary/Middle,397,*,*,,,,2020,,
820 0080,820,820,Sullivan County,80,Sullivan East High School,855,*,*,,,,2020,,
830 0080,830,830,Sumner County,80,Oakmont Elementary,131,*,*,,,,2020,,
890 0080,890,890,Warren County,80,Warren County High School,1900,*,*,,,,2020,,
900 0080,900,900,Washington County,80,Ridgeview Elementary School,775,*,*,,,,2020,,
940 0080,940,940,Williamson County,80,Trinity Elementary,817,*,*,,,,2020,,
950 0080,950,950,Wilson County,80,W A Wright Elementary,535,*,*,,,,2020,,
180 0079,180,180,Cumberland County,79,Stone Memorial High School,997,*,*,,,,2020,,
940 0079,940,940,Williamson County,79,Summit High School,1629,*,*,,,,2020,,
020 0078,20,20,Bedford County,78,Thomas Magnet Elementary School,448,*,*,,,,2020,,
060 0078,60,60,Bradley County,78,Walker Valley High School,1454,*,*,,,,2020,,
330 0078,330,330,Hamilton County,78,East Side Elementary,616,*,*,,,,2020,,
370 0078,370,370,Hawkins County,78,Joseph Rogers Primary School,342,*,*,,,,2020,,
630 0078,630,630,Montgomery County,78,Rossview High,1864,*,*,,,,2020,,
750 0078,750,750,Rutherford County,78,Rockvale Middle School,1266,*,*,,,,2020,,
798 0078,798,798,Millington Municipal Schools,78,E.A. Harrold Elementary School,393,*,*,,,,2020,,
940 0078,940,940,Williamson County,78,Sunset Middle School,596,*,*,,,,2020,,
070 0077,70,70,Campbell County,77,LaFollette Elementary School,542,*,*,,,,2020,,
190 0077,190,190,Metro Nashville Public Schools,77,Cane Ridge High School,1861,*,*,,,,2020,,
470 0077,470,470,Knox County,77,Fair Garden Family/Community Center,163,*,*,,,,2020,,
630 0077,630,630,Montgomery County,77,Rossview Middle,1480,*,*,,,,2020,,
730 0077,730,730,Roane County,77,Ridge View Elementary,595,*,*,,,,2020,,
750 0077,750,750,Rutherford County,77,Roy L Waldron Elementary,824,*,*,,,,2020,,
940 0077,940,940,Williamson County,77,Sunset Elementary School,713,*,*,,,,2020,,
570 0076,570,570,Madison County,76,Northeast Middle School,974,*,*,,,,2020,,
940 0076,940,940,Williamson County,76,Scales Elementary,846,*,*,,,,2020,,
010 0075,10,10,Anderson County,75,Norris Middle School,507,*,*,,,,2020,,
