Key,Dist,District ID,District Name,School ID,School Name,Enrollment,Total School Per Pupil Expenditures,Total Expenditures Per School,Local Percentage,Federal Percentage,State Percentage,Year,,
792 8266,792,792,Shelby County,8266,Vision Preparatory Charter School,385,*,*,,,,2020,,
792 8265,792,792,Shelby County,8265,City University School of Independence,14,*,*,,,,2020,,
792 8264,792,792,Shelby County,8264,Memphis Rise Academy,663,*,*,,,,2020,,
792 8262,792,792,Shelby County,8262,KIPP Memphis Collegiate Elementary,413,*,*,,,,2020,,
792 8260,792,792,Shelby County,8260,Memphis Grizzlies Preparatory Charter School,348,*,*,,,,2020,,
792 8258,792,792,Shelby County,8258,KIPP Memphis Middle Academy,315,*,*,,,,2020,,
792 8256,792,792,Shelby County,8256,Aurora Collegiate Academy,325,*,*,,,,2020,,
792 8254,792,792,Shelby County,8254,Veritas College Preparatory,162,*,*,,,,2020,,
792 8252,792,792,Shelby County,8252,Memphis School of Excellence,517,*,*,,,,2020,,
792 8240,792,792,Shelby County,8240,Memphis College Preparatory,269,*,*,,,,2020,,
792 8238,792,792,Shelby County,8238,KIPP Memphis Collegiate Middle,348,*,*,,,,2020,,
792 8234,792,792,Shelby County,8234,Freedom Preparatory Academy,779,*,*,,,,2020,,
792 8232,792,792,Shelby County,8232,Soulsville Charter School,663,*,*,,,,2020,,
792 8230,792,792,Shelby County,8230,Star Academy,311,*,*,,,,2020,,
792 8228,792,792,Shelby County,8228,Southern Avenue Charter School Of Academic Excellence  Creat,393,*,*,,,,2020,,
792 8225,792,792,Shelby County,8225,Promise Academy,323,*,*,,,,2020,,
792 8220,792,792,Shelby County,8220,Power Center Academy Middle,457,*,*,,,,2020,,
792 8217,792,792,Shelby County,8217,Memphis Business Academy High School,494,*,*,,,,2020,,
792 8215,792,792,Shelby County,8215,Memphis Business Academy Middle,507,*,*,,,,2020,,
792 8213,792,792,Shelby County,8213,Memphis Academy of Health Sciences High School,420,*,*,,,,2020,,
792 8210,792,792,Shelby County,8210,Memphis Academy Of Health Sciences,284,*,*,,,,2020,,
792 8207,792,792,Shelby County,8207,Memphis Business Academy Elementary School,372,*,*,,,,2020,,
792 8206,792,792,Shelby County,8206,Power Center Academy High School,617,*,*,,,,2020,,
792 8205,792,792,Shelby County,8205,Memphis Academy Of Science  Engineering Middle/High,581,*,*,,,,2020,,
792 8204,792,792,Shelby County,8204,City University School Of Liberal Arts,253,*,*,,,,2020,,
792 8202,792,792,Shelby County,8202,KIPP Memphis Collegiate High School,479,*,*,,,,2020,,
792 8201,792,792,Shelby County,8201,Circles Of Success Learning Academy,229,*,*,,,,2020,,
792 8195,792,792,Shelby County,8195,Compass Community School Frayser Campus,170,*,*,,,,2020,,
792 8190,792,792,Shelby County,8190,Compass Community School Binghampton Campus,182,*,*,,,,2020,,
792 8185,792,792,Shelby County,8185,Compass Community School Berclair Campus,178,*,*,,,,2020,,
792 8180,792,792,Shelby County,8180,Aster College Preparatory,16,*,*,,,,2020,,
792 8175,792,792,Shelby County,8175,Aspire East Academy,365,*,*,,,,2020,,
792 8170,792,792,Shelby County,8170,Memphis Delta Preparatory,385,*,*,,,,2020,,
792 8165,792,792,Shelby County,8165,Memphis STEM Academy,266,*,*,,,,2020,,
792 8160,792,792,Shelby County,8160,Power Center Academy Middle - Southeast,292,*,*,,,,2020,,
792 8155,792,792,Shelby County,8155,Freedom Preparatory Academy Elementary School,466,*,*,,,,2020,,
792 8150,792,792,Shelby County,8150,Arrow Academy of Excellence,88,*,*,,,,2020,,
792 8145,792,792,Shelby County,8145,City University School Girls Preparatory,128,*,*,,,,2020,,
985 8140,985,985,Achievement School District,8140,Hillcrest High School,460,*,*,,,,2020,,
792 8135,792,792,Shelby County,8135,DuBois Elementary School of Entrepreneurship,351,*,*,,,,2020,,
985 8135,985,985,Achievement School District,8135,Kirby Middle School,431,*,*,,,,2020,,
985 8130,985,985,Achievement School District,8130,Memphis Scholars Raleigh-Egypt,105,*,*,,,,2020,,
985 8125,985,985,Achievement School District,8125,Memphis Scholars Caldwell-Guthrie,489,*,*,,,,2020,,
985 8120,985,985,Achievement School District,8120,Memphis Scholars Florida Kansas,224,*,*,,,,2020,,
985 8115,985,985,Achievement School District,8115,Cornerstone Prep Denver Campus,611,*,*,,,,2020,,
985 8110,985,985,Achievement School District,8110,KIPP Memphis Preparatory Elementary,424,*,*,,,,2020,,
