district_name,school_name,zipcode,longitude,latitude,pct_chronically_absent_2020,percent_ca2019,percent_ca_2018,admin,teacher,percent_retained,pool,score_achievement,score_growth,score_absenteeism,students_total_2020,enrollment_2019,enrollment_2018
Metro Nashville Public Schools,J. E. Moss Elementary,37013,-86.64782,36.055115,9.4,11.2,14.3,3,65,65.9,K8,2.8,3,3.9,846,734,775
Hamilton County Schools,Orchard Knob Middle,37404,-85.2749,35.030474,25.1,30.2,33.6,3,41,65.9,K8,1.1,0.4,3.1,477,463,454
Hamilton County Schools,East Lake Elementary,37407,-85.28673,35.000825,6.5,8.4,12.8,2,45,66,K8,2.1,3.9,4,609,534,518
Metro Nashville Public Schools,Chadwell Elementary,37115,-86.70566,36.264069,19.5,17.1,22.7,1,27,66.7,K8,1.8,2.1,4,392,317,300
Metro Nashville Public Schools,Haynes Middle,37207,-86.77317,36.215535,18.4,16,15.4,2,18,66.7,K8,0.9,2.4,2,268,251,253
Metro Nashville Public Schools,Sylvan Park Elementary,37209,-86.8559,36.151324,7.7,4.9,6.1,2,34,66.7,K8,3.4,3.9,3.6,469,434,458
Knox County Schools,Lonsdale Elementary,37921,-83.97413,35.973731,15,7.4,7.6,3,36,66.7,K8,1.1,1.2,3.3,353,341,407
Murfreesboro City Schools,Reeves-Rogers Elementary,37130,-86.3648,35.860152,7.5,7.8,6.8,2,30,66.7,K8,2.7,3.6,3.4,467,418,432
Shelby County Schools,Brownsville Road Elementary,38135,-89.85214,35.232085,11.4,13.7,6.3,2,43,66.7,K8,3,1.8,1.3,622,554,555
Shelby County Schools,Treadwell Elementary,38122,-89.92315,35.155589,19.9,18.7,11,2,56,66.7,K8,0.1,1.7,1.1,818,690,692
Shelby County Schools,Memphis Business Academy Elementary School,38127,-90.00646,35.223796,28.7,16,12.9,1,18,66.7,K8,2.9,2,1.7,342,305,367
Shelby County Schools,Memphis Academy of Health Sciences High School,38107,-90.02224,35.167515,34.1,51.6,17.3,1,25,66.7,HS,2,2.1,0,483,423,436
